pathway	overlap_size	pathway_size	p-value	overlap_features (name)	overlap_features (id)	used_input_mzs
Leukotriene metabolism	3	22	0.351061621	"Glutathione; 5-L-Glutamyl-L-cysteinylglycine; N-(N-gamma-L-Glutamyl-L-cysteinyl)glycine; gamma-L-Glutamyl-L-cysteinyl-glycine; GSH; Reduced glutathione$DL-Glutamate; DL-Glutaminic acid; 2-Aminoglutaric acid; Glutamate$10,11-dihydro-12R-hydroxy-leukotriene E4"	C00051;C00302;CE4995	"310.0853,310.0853,309.0929;170.0414;458.2517"
Putative anti-Inflammatory metabolites formation from EPA	2	14	0.378827109	L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate$Glutathione; 5-L-Glutamyl-L-cysteinylglycine; N-(N-gamma-L-Glutamyl-L-cysteinyl)glycine; gamma-L-Glutamyl-L-cysteinyl-glycine; GSH; Reduced glutathione	C00025;C00051	"170.0414;310.0853,310.0853,309.0929"
Starch and Sucrose Metabolism	2	14	0.378827109	"Amylose; Amylose chain; (1,4-alpha-D-Glucosyl)n; (1,4-alpha-D-Glucosyl)n+1; (1,4-alpha-D-Glucosyl)n-1; 4-{(1,4)-alpha-D-Glucosyl}(n-1)-D-glucose; 1,4-alpha-D-Glucan$alpha-D-Glucose$beta-D-Glucose$D-Glucose; Grape sugar; Dextrose"	C00718;C00267;C00221;C00031	371.1583;180.0645;180.0645;180.0645
Histidine metabolism	2	14	0.378827109	L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate$Glutathione; 5-L-Glutamyl-L-cysteinylglycine; N-(N-gamma-L-Glutamyl-L-cysteinyl)glycine; gamma-L-Glutamyl-L-cysteinyl-glycine; GSH; Reduced glutathione	C00025;C00051	"170.0414;310.0853,310.0853,309.0929"
Glycolysis and Gluconeogenesis	3	29	0.592637536	Thiamin diphosphate; Thiamine diphosphate; Thiamin pyrophosphate; TPP; ThPP$alpha-D-Glucose$beta-D-Glucose$Phosphoenolpyruvate; Phosphoenolpyruvic acid; PEP$D-Glucose; Grape sugar; Dextrose	C00068;C00267;C00221;C00074;C00031	494.0435;180.0645;180.0645;168.9891;180.0645
Lysine metabolism	2	21	0.647449409	"L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate$3-Hydroxy-N6,N6,N6-trimethyl-L-lysine"	C00025;C01259	170.0414;244.1171
"Valine, leucine and isoleucine degradation"	2	26	0.773306084	L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate$Thiamin diphosphate; Thiamine diphosphate; Thiamin pyrophosphate; TPP; ThPP	C00025;C00068	170.0414;494.0435
C21-steroid hormone biosynthesis and metabolism	3	38	0.797366003	"19-Hydroxydeoxycorticosterone$Androstenedione$testosterone glucuronide$Androst-4-ene-3,17-dione; Androstenedione; 4-Androstene-3,17-dione$21-Hydroxy-5beta-pregnane-3,11,20-trione$11-Deoxycortisol; Cortodoxone$21-Deoxycortisol; 4-Pregnene-11beta,17alpha-diol-3,20-dione; 11beta,17alpha-Dihydroxyprogesterone$Corticosterone; 11beta,21-Dihydroxy-4-pregnene-3,20-dione; Kendall's compound B; Reichstein's substance H"	CE1347;andrstndn;tststeroneglc;C00280;C05477;C05488;C05497;C02140	415.2066;371.1583;244.1171;371.1583;415.2066;415.2066;415.2066;415.2066
"Glycine, serine, alanine and threonine metabolism"	3	39	0.813162038	L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate$O-Phospho-L-serine; L-O-Phosphoserine; 3-Phosphoserine; Dexfosfoserine$Glutathione; 5-L-Glutamyl-L-cysteinylglycine; N-(N-gamma-L-Glutamyl-L-cysteinyl)glycine; gamma-L-Glutamyl-L-cysteinyl-glycine; GSH; Reduced glutathione	C00025;C01005;C00051	"170.0414;207.9975;310.0853,310.0853,309.0929"
Arachidonic acid metabolism	3	42	0.853952973	L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate$Glutathione; 5-L-Glutamyl-L-cysteinylglycine; N-(N-gamma-L-Glutamyl-L-cysteinyl)glycine; gamma-L-Glutamyl-L-cysteinyl-glycine; GSH; Reduced glutathione$Glutathione disulfide; GSSG; Oxiglutatione; Oxidized glutathione	C00025;C00051;C00127	"170.0414;310.0853,310.0853,309.0929;614.1602"
Glycerolipid metabolism	0	0	1			
Vitamin B2 (riboflavin) metabolism	0	3	1			
Di-unsaturated fatty acid beta-oxidation	0	3	1			
Pyruvate Metabolism	1	10	1	Glutathione; 5-L-Glutamyl-L-cysteinylglycine; N-(N-gamma-L-Glutamyl-L-cysteinyl)glycine; gamma-L-Glutamyl-L-cysteinyl-glycine; GSH; Reduced glutathione	C00051	"310.0853,310.0853,309.0929"
R Group Synthesis	0	1	1			
Hyaluronan Metabolism	1	4	1	N-Acetyl-D-glucosamine; N-Acetylchitosamine; 2-Acetamido-2-deoxy-D-glucose; GlcNAc	C00140	"221.0881,260.0516"
Vitamin D3 (cholecalciferol) metabolism	0	4	1			
Phytanic acid peroxisomal oxidation	0	6	1			
Omega-6 fatty acid metabolism	0	5	1			
Trihydroxycoprostanoyl-CoA beta-oxidation	0	1	1			
Prostaglandin formation from dihomo gama-linoleic acid	0	2	1			
1- and 2-Methylnaphthalene degradation	0	2	1			
Ubiquinone Biosynthesis	0	3	1			
Nucleotide Sugar Metabolism	0	1	1			
Fatty acid activation	1	13	1	Octanoic acid; Caprylic acid; Octylic acid	C06423	213.1089
Vitamin B12 (cyanocobalamin) metabolism	0	0	1			
Atrazine degradation	0	0	1			
Pentose and Glucuronate Interconversions	1	6	1	L-Gulonate; L-Gulonic acid; Gulonate; Gulonic acid	C00800	281.0256
Vitamin B6 (pyridoxine) metabolism	1	6	1	Pyridoxamine; PM	C00534	207.051
Dimethyl-branched-chain fatty acid mitochondrial beta-oxidation	0	3	1			
Prostaglandin formation from arachidonate	1	32	1	Glutathione; 5-L-Glutamyl-L-cysteinylglycine; N-(N-gamma-L-Glutamyl-L-cysteinyl)glycine; gamma-L-Glutamyl-L-cysteinyl-glycine; GSH; Reduced glutathione	C00051	"310.0853,310.0853,309.0929"
Benzoate degradation via CoA ligation	0	3	1			
Vitamin K metabolism	0	1	1			
Proteoglycan biosynthesis	0	5	1			
Limonene and pinene degradation	0	6	1			
Sphingolipid metabolism	0	1	1			
3-Chloroacrylic acid degradation	0	2	1			
Polyunsaturated fatty acid biosynthesis	0	0	1			
"Fatty acid oxidation, peroxisome"	0	3	1			
Dynorphin metabolism	0	2	1			
Vitamin D	0	0	1			
D4&E4-neuroprostanes formation	0	17	1			
Geraniol degradation	0	0	1			
Mono-unsaturated fatty acid beta-oxidation	0	2	1			
Omega-3 fatty acid metabolism	0	7	1			
CoA Catabolism	1	4	1	Pantetheine 4'-phosphate; 4'-Phosphopantetheine; Phosphopantetheine; D-Pantetheine 4'-phosphate	C01134	191.0477
ROS Detoxification	0	0	1			
Fructose and mannose metabolism	1	22	1	D-Mannose; Mannose; Seminose; Carubinose$alpha-D-Glucose$D-Fructose; Levulose; Fruit sugar; D-arabino-Hexulose$D-Glucose; Grape sugar; Dextrose	C00159;C00267;C00095;C00031	180.0645;180.0645;180.0645;180.0645
Fatty acid oxidation	0	3	1			
Glycosaminoglycan degradation	0	0	1			
Fatty Acid Metabolism	1	6	1	O-Acetylcarnitine; O-Acetyl-L-carnitine	C02571	204.1216
Vitamin A (retinol) metabolism	0	12	1			
De novo fatty acid biosynthesis	0	14	1			
Glyoxylate and Dicarboxylate Metabolism	0	4	1			
Heparan sulfate biosynthesis	0	0	1			
Lipoate metabolism	1	3	1	Lipoate; Lipoic acid; alpha-Lipoic acid; Thioctic acid	C00725	207.051
Vitamin H (biotin) metabolism	0	2	1			
Electron transport chain	0	3	1			
Propanoate metabolism	1	18	1	"2-Methylcitrate; 2-Hydroxybutane-1,2,3-tricarboxylate; (2R,3S)-2-Hydroxybutane-1,2,3-tricarboxylate$(2S,3R)-3-Hydroxybutane-1,2,3-tricarboxylate; Methylisocitrate; Methylisocitric acid"	C02225;C04593	207.051;207.051
Parathio degradation	1	2	1	4-Nitrophenol; p-Nitrophenol; PNP; Niphen; 4-Hydroxynitrobenzene	C00870	"142.0312,142.0312"
Bile acid biosynthesis	0	31	1			
Glycosylphosphatidylinositol(GPI)-anchor biosynthesis	0	1	1			
Vitamin B5 - CoA biosynthesis from pantothenate	1	6	1	Pantetheine 4'-phosphate; 4'-Phosphopantetheine; Phosphopantetheine; D-Pantetheine 4'-phosphate	C01134	191.0477
Vitamin B1 (thiamin) metabolism	1	7	1	Thiamin diphosphate; Thiamine diphosphate; Thiamin pyrophosphate; TPP; ThPP	C00068	494.0435
3-oxo-10R-octadecatrienoate beta-oxidation	0	0	1			
